,game_id,variable,value,batteridx,round
0,201900016,a1,5,1_first,1
1,201900023,a1,6,1_first,1
2,201900103,a1,5,1_first,1
3,201900112,a1,5,1_first,1
4,201900131,a1,5,1_first,1
5,201900141,a1,6,1_first,1
6,201900142,a1,5,1_first,1
7,201900150,a1,1,1_first,1
8,201900157,a1,7,1_first,1
9,201900161,a1,5,1_first,1
10,201900173,a1,5,1_first,1
11,201900176,a1,1,1_first,1
12,201900177,a1,5,1_first,1
13,201900183,a1,7,1_first,1
14,201900186,a1,7,1_first,1
15,201900197,a1,7,1_first,1
16,201900200,a1,5,1_first,1
17,201900201,a1,4,1_first,1
18,201900203,a1,5,1_first,1
19,201900208,a1,1,1_first,1
20,201900213,a1,2,1_first,1
21,201900235,a1,5,1_first,1
22,201900274,a1,7,1_first,1
23,201900285,a1,6,1_first,1
24,201900286,a1,5,1_first,1
25,201900290,a1,5,1_first,1
26,201900294,a1,7,1_first,1
27,201900303,a1,5,1_first,1
28,201900304,a1,4,1_first,1
29,201900339,a1,5,1_first,1
30,201900345,a1,5,1_first,1
31,201900348,a1,5,1_first,1
32,201900349,a1,4,1_first,1
33,201900352,a1,5,1_first,1
34,201900358,a1,7,1_first,1
35,201900361,a1,1,1_first,1
36,201900375,a1,7,1_first,1
37,201900377,a1,7,1_first,1
38,201900380,a1,2,1_first,1
39,201900425,a1,5,1_first,1
40,201900447,a1,5,1_first,1
41,201900457,a1,5,1_first,1
42,201900459,a1,5,1_first,1
43,201900461,a1,5,1_first,1
44,201900462,a1,5,1_first,1
45,201900468,a1,5,1_first,1
46,201900469,a1,5,1_first,1
47,201900478,a1,5,1_first,1
48,201900492,a1,5,1_first,1
49,201900520,a1,5,1_first,1
50,201900571,a1, ,1_first,1
51,201900574,a1,1,1_first,1
52,201900591,a1,6,1_first,1
53,201900595,a1,1,1_first,1
54,201900632,a1,8,1_first,1
55,201900637,a1,7,1_first,1
56,201900644,a1,7,1_first,1
57,201900683,a1,7,1_first,1
58,201900684,a1, ,1_first,1
59,201900688,a1,5,1_first,1
60,201900691,a1,5,1_first,1
61,201900695,a1,7,1_first,1
62,201900710,a1,5,1_first,1
63,201900712,a1,5,1_first,1
64,201900719,a1,1,1_first,1
65,201900759,a1,2,1_first,1
66,201900788,a1,5,1_first,1
67,201900810,a1,1,1_first,1
68,201900814,a1,5,1_first,1
69,201900815,a1,7,1_first,1
70,201900817,a1,5,1_first,1
71,201900818,a1,5,1_first,1
72,201900828,a1,5,1_first,1
73,201900839,a1,5,1_first,1
74,201900843,a1,5,1_first,1
75,201900844,a1,7,1_first,1
76,201900852,a1,7,1_first,1
77,201900872,a1,5,1_first,1
78,201900938,a1,5,1_first,1
79,201900987,a1,2,1_first,1
80,201900998,a1,6,1_first,1
81,201901026,a1,5,1_first,1
82,201901027,a1,5,1_first,1
83,201901030,a1,2,1_first,1
84,201901041,a1,5,1_first,1
85,201901080,a1,5,1_first,1
86,201901082,a1,1,1_first,1
87,201901083,a1, ,1_first,1
88,201901092,a1,1,1_first,1
89,201901095,a1,5,1_first,1
90,201901133,a1,5,1_first,1
91,201901154,a1,1,1_first,1
92,201901162,a1,7,1_first,1
93,201901173,a1,4,1_first,1
94,201901184,a1,1,1_first,1
95,201901186,a1,7,1_first,1
96,201901198,a1,5,1_first,1
97,201901206,a1,6,1_first,1
98,201901222,a1,6,1_first,1
99,201901246,a1,5,1_first,1
100,201901256,a1,5,1_first,1
101,201901273,a1,7,1_first,1
102,201901307,a1,7,1_first,1
103,201901310,a1, ,1_first,1
104,201901324,a1, ,1_first,1
105,201901331,a1,5,1_first,1
106,201901338,a1,1,1_first,1
107,201901376,a1,5,1_first,1
108,201901388,a1,5,1_first,1
109,201901394,a1, ,1_first,1
110,201901398,a1,4,1_first,1
111,201901441,a1,1,1_first,1
112,201901451,a1,1,1_first,1
113,201901457,a1,1,1_first,1
114,201901471,a1,7,1_first,1
115,201901475,a1,4,1_first,1
116,201901491,a1,5,1_first,1
117,201901498,a1,7,1_first,1
118,201901504,a1,5,1_first,1
119,201901505,a1,5,1_first,1
120,201901511,a1,4,1_first,1
121,201901512,a1,1,1_first,1
122,201901521,a1, ,1_first,1
123,201901522,a1,5,1_first,1
124,201901526,a1,5,1_first,1
125,201901539,a1,8,1_first,1
126,201901542,a1,1,1_first,1
127,201901546,a1,5,1_first,1
128,201901560,a1,7,1_first,1
129,201901569,a1, ,1_first,1
130,201901570,a1,5,1_first,1
131,201901579,a1,6,1_first,1
132,201901615,a1,7,1_first,1
133,201901617,a1,2,1_first,1
134,201901650,a1,1,1_first,1
135,201901659,a1,5,1_first,1
136,201901681,a1,1,1_first,1
137,201901688,a1, ,1_first,1
138,201901701,a1,5,1_first,1
139,201901707,a1,7,1_first,1
140,201901711,a1,7,1_first,1
141,201901721,a1,2,1_first,1
142,201901745,a1,7,1_first,1
143,201901746,a1,5,1_first,1
144,201901788,a1,5,1_first,1
145,201901813,a1,5,1_first,1
146,201901819,a1,5,1_first,1
147,201901842,a1,5,1_first,1
148,201901857,a1,6,1_first,1
149,201901858,a1,1,1_first,1
150,201901871,a1,5,1_first,1
151,201901872,a1,1,1_first,1
152,201901888,a1,5,1_first,1
153,201901889,a1,1,1_first,1
154,201901909,a1,7,1_first,1
155,201901916,a1,2,1_first,1
156,201901917,a1,5,1_first,1
157,201901921,a1,1,1_first,1
158,201901926,a1,5,1_first,1
159,201901936,a1,5,1_first,1
160,201901943,a1,1,1_first,1
